source_path	planned_native_path	action	notes
.editorconfig	.editorconfig	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
.gitattributes	.gitattributes	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
.github/codeql/codeql-config.yml	.github/codeql/codeql-config.yml	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
.github/dependabot.yml	.github/dependabot.yml	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
.github/workflows/ci.yml	.github/workflows/ci.yml	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
.github/workflows/codeql.yml	.github/workflows/codeql.yml	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
.github/workflows/release.yml	.github/workflows/release.yml	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
.gitignore	.gitignore	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
.gitmodules	.gitmodules	merge	Do not overwrite the native ExtLibs/mono submodule declaration.
Directory.Build.props	Directory.Build.props	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
Directory.Build.targets	Directory.Build.targets	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
Directory.Packages.props	Directory.Packages.props	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
LICENSE	LICENSE	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
LICENSES/Apache-2.0.txt	LICENSES/Apache-2.0.txt	import	Retain third-party notices for shipped native components.
LICENSES/MIT-Tmds.DBus.txt	LICENSES/MIT-Tmds.DBus.txt	import	Retain third-party notices for shipped native components.
LICENSES/SimpleBLE-0.7.3-NOTICE.txt	LICENSES/SimpleBLE-0.7.3-NOTICE.txt	import	Retain third-party notices for shipped native components.
LICENSES/VLC-3.0.23-NOTICE.txt	LICENSES/VLC-3.0.23-NOTICE.txt	import	Retain third-party notices for shipped native components.
Makefile	Makefile	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
MissionPlannerAvalonia.slnx	MissionPlanner.slnx	merge	Create the cross-platform solution graph with direct root ExtLib references.
NOTICE.md	NOTICE.md	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
README.md	README.md	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
SITL-TESTING.md	SITL-TESTING.md	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
build/gen-manifest.py	build/gen-manifest.py	import	Cross-platform build/package/runtime support.
build/icon/AppIcon.png	build/icon/AppIcon.png	import	Cross-platform build/package/runtime support.
build/icon/AppIcon.svg	build/icon/AppIcon.svg	import	Cross-platform build/package/runtime support.
build/icon/generate.sh	build/icon/generate.sh	import	Cross-platform build/package/runtime support.
build/linux/debian/control.in	build/linux/debian/control.in	import	Cross-platform build/package/runtime support.
build/linux/debian/copyright	build/linux/debian/copyright	import	Cross-platform build/package/runtime support.
build/linux/debian/lintian-overrides	build/linux/debian/lintian-overrides	import	Cross-platform build/package/runtime support.
build/linux/debian/missionplanner-avalonia	build/linux/debian/missionplanner-avalonia	import	Cross-platform build/package/runtime support.
build/linux/debian/missionplanner-avalonia.1	build/linux/debian/missionplanner-avalonia.1	import	Cross-platform build/package/runtime support.
build/linux/debian/missionplanner-avalonia.desktop	build/linux/debian/missionplanner-avalonia.desktop	import	Cross-platform build/package/runtime support.
build/linux/debian/postinst	build/linux/debian/postinst	import	Cross-platform build/package/runtime support.
build/linux/debian/postrm	build/linux/debian/postrm	import	Cross-platform build/package/runtime support.
build/linux/install.sh	build/linux/install.sh	import	Cross-platform build/package/runtime support.
build/linux/missionplanner-avalonia.desktop	build/linux/missionplanner-avalonia.desktop	import	Cross-platform build/package/runtime support.
build/linux/missionplanner-avalonia.png	build/linux/missionplanner-avalonia.png	import	Cross-platform build/package/runtime support.
build/linux/package.sh	build/linux/package.sh	import	Cross-platform build/package/runtime support.
build/macos/AppIcon.icns	build/macos/AppIcon.icns	import	Cross-platform build/package/runtime support.
build/macos/Info.plist	build/macos/Info.plist	import	Cross-platform build/package/runtime support.
build/macos/entitlements.plist	build/macos/entitlements.plist	import	Cross-platform build/package/runtime support.
build/macos/make-app.sh	build/macos/make-app.sh	import	Cross-platform build/package/runtime support.
build/make-update-bundle.py	build/make-update-bundle.py	import	Cross-platform build/package/runtime support.
build/simpleble/fetch-macos.sh	build/simpleble/fetch-macos.sh	import	Cross-platform build/package/runtime support.
build/version.sh	build/version.sh	import	Cross-platform build/package/runtime support.
build/vlc/fetch-macos.sh	build/vlc/fetch-macos.sh	import	Cross-platform build/package/runtime support.
docs/CODEQL_TRIAGE.md	Porting/Reference/CODEQL_TRIAGE.md	import	Historical/reference documentation; reconcile current facts into native docs/README later.
docs/NV_MODEM.md	Porting/Reference/NV_MODEM.md	import	Historical/reference documentation; reconcile current facts into native docs/README later.
docs/PLUGINS.md	Porting/Reference/PLUGINS.md	import	Historical/reference documentation; reconcile current facts into native docs/README later.
docs/PORT_STATUS.md	Porting/Reference/PORT_STATUS.md	import	Historical/reference documentation; reconcile current facts into native docs/README later.
docs/TEMP_HANDLER_AUDIT.md	Porting/Reference/TEMP_HANDLER_AUDIT.md	import	Historical/reference documentation; reconcile current facts into native docs/README later.
docs/theme-proposals.html	Porting/Reference/theme-proposals.html	import	Historical/reference documentation; reconcile current facts into native docs/README later.
external/Directory.Build.props		remove	Old submodule shielding is unnecessary in the in-place layout; scope root build policy explicitly instead.
external/Directory.Packages.props		remove	Old submodule shielding is unnecessary in the in-place layout; scope root build policy explicitly instead.
external/MissionPlanner		remove	Never import the old Mission Planner gitlink; native source already is the repository root.
global.json	global.json	merge	Merge by meaning; never overwrite native repository policy, licensing or workflows mechanically.
src/MissionPlannerAvalonia.LegacyPluginApi/MainV2Compatibility.cs	Plugin/LegacyCompatibility/MainV2Compatibility.cs	merge	Merge compatibility types into main MissionPlanner assembly; do not emit a second MissionPlanner.dll.
src/MissionPlannerAvalonia.LegacyPluginApi/MissionPlannerAvalonia.LegacyPluginApi.csproj	Plugin/LegacyCompatibility/MissionPlannerAvalonia.LegacyPluginApi.csproj	merge	Merge compatibility types into main MissionPlanner assembly; do not emit a second MissionPlanner.dll.
src/MissionPlannerAvalonia.LegacyPluginApi/PluginCompatibility.cs	Plugin/LegacyCompatibility/PluginCompatibility.cs	merge	Merge compatibility types into main MissionPlanner assembly; do not emit a second MissionPlanner.dll.
src/MissionPlannerAvalonia.PluginApi/MissionPlannerAvalonia.PluginApi.csproj	Plugin/PortableApi/MissionPlannerAvalonia.PluginApi.csproj	import	Keep a distinct portable contract identity; rename project and references deliberately.
src/MissionPlannerAvalonia.PluginApi/Plugin.cs	Plugin/PortableApi/Plugin.cs	import	Keep a distinct portable contract identity; rename project and references deliberately.
src/MissionPlannerAvalonia.PluginApi/PluginHost.cs	Plugin/PortableApi/PluginHost.cs	import	Keep a distinct portable contract identity; rename project and references deliberately.
src/MissionPlannerAvalonia/App.axaml	App.axaml	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/App.axaml.cs	App.axaml.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/AppState.cs	AppState.cs	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Assets/Frames/class_heli.png	Assets/Frames/class_heli.png	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Assets/Frames/class_hexa.png	Assets/Frames/class_hexa.png	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Assets/Frames/class_octa.png	Assets/Frames/class_octa.png	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Assets/Frames/class_octaquad.png	Assets/Frames/class_octaquad.png	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Assets/Frames/class_quad.png	Assets/Frames/class_quad.png	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Assets/Frames/class_tri.png	Assets/Frames/class_tri.png	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Assets/Frames/class_y6.png	Assets/Frames/class_y6.png	import	Port-owned application source/resource imported into the native root.
src/MissionPlannerAvalonia/Assets/Frames/type_h.png	Assets/Frames/type_h.png	import	Port-owned application source/resource imported into the native root.
