source_path	source_blob	resolution	native_evidence	notes
.editorconfig	5e8d7be12821da08c7d631ebfd0600e890597976	merge	.editorconfig	Merged repository-wide C# and formatting policy with the native fork.
.gitattributes	030854dd2e69d20d875a55b40b77c2e87cb03732	merge	.gitattributes	Merged text and binary attribute policy without discarding native rules.
.github/codeql/codeql-config.yml	664790f3790c81517988010634056dac4a8f2af9	merge	.github/codeql/codeql-config.yml	Retargeted CodeQL to the in-place solution and retained native exclusions.
.github/dependabot.yml	bf8e5afb875e51ec31681b7abb2c52616beee6ce	merge	.github/dependabot.yml	Retargeted dependency updates to the in-place package graph.
.github/workflows/ci.yml	5d0e28dd7d010b7d1fd28acc050c984cae2bada3	merge	.github/workflows/ci.yml	Merged cross-platform build test package smoke and installer validation.
.github/workflows/codeql.yml	d4baf573c5e01af25a13e3e1ffbc69f308dd6b85	merge	.github/workflows/codeql.yml	Merged CodeQL workflow for the native fork paths.
.github/workflows/release.yml	87476dd466703128ca0f6acc930963172957e127	merge	.github/workflows/release.yml	Merged signed GitHub Release publishing and all supported artifacts.
.gitignore	02501d322523dea88ceaa8d128da7496ae2c740e	merge	.gitignore	Merged Avalonia publish package test and local-tool outputs with native ignores.
.gitmodules	a56dc503fcd8451c2a50daadc702f006ae0d27f4	retire	Porting/BASELINE.md	The source entry only declared external/MissionPlanner; the in-place fork deliberately has no application submodule.
Directory.Build.props	629452a4bdae21c337276fe766311ae608ddad8e	merge	Directory.Build.props	Merged deterministic warning version and cross-platform build policy.
Directory.Build.targets	962657724ad7e48d0e9b972666f954a3c4548aeb	merge	Directory.Build.targets	Merged runtime asset filtering and in-place packaging targets.
Directory.Packages.props	e0fb7f65964b110fd721d5aa682dabaff16afba9	merge	Directory.Packages.props	Merged the central Avalonia test and runtime dependency versions.
LICENSE	94a9ed024d3859793618152ea559a168bbcbb5e2	exact	COPYING.txt	The native fork already carries the identical GPLv3 text under its canonical filename.
LICENSES/Apache-2.0.txt	d645695673349e3947e8e5ae42332d0ac3164cd7	exact	LICENSES/Apache-2.0.txt	Imported byte-for-byte.
LICENSES/MIT-Tmds.DBus.txt	c664e7521024649b84c366758a5756658624e9cb	exact	LICENSES/MIT-Tmds.DBus.txt	Imported byte-for-byte.
LICENSES/SimpleBLE-0.7.3-NOTICE.txt	cee9fe14d69dd59a4f239a89758c00f7ac1c1699	exact	LICENSES/SimpleBLE-0.7.3-NOTICE.txt	Imported byte-for-byte.
LICENSES/VLC-3.0.23-NOTICE.txt	8c71af342ec0160e15d89a00cce66ce3b08326c6	exact	LICENSES/VLC-3.0.23-NOTICE.txt	Imported byte-for-byte.
Makefile	dfa0a2e1dec0fc1b3d14c7c5488f73a0e198a571	merge	Makefile	Merged native-identity Linux Windows MSI ZIP and macOS package targets.
MissionPlannerAvalonia.slnx	9acaf99024ec862516200dd0d4cc0e6454e6dfb6	merge	MissionPlanner.slnx	Renamed to the native product and expanded to the complete active transitive graph.
NOTICE.md	29586009375f3d05f4387467267695cf8ce2f87d	merge	NOTICE.md	Merged source attribution with native Mission Planner identity and current dependencies.
README.md	a2df3270ae5a2951d8c8fb476e7b85ec9a13cbc6	merge	README.md	Merged port usage build packaging update privacy and upstream information by meaning.
SITL-TESTING.md	2d6d47e67bc62db862e5a49ac9b088a096dfe49b	merge	SITL-TESTING.md	Retained the complete checklist and renamed executable identity to MissionPlanner.
